ENTREZ_ID.1	ENTREZ_ID.2	gene.pairs
35509	31221	31221-35509
35219	34359	34359-35219
40834	34359	34359-40834
35660	37367	35660-37367
31221	32225	31221-32225
35975	36571	35975-36571
44261	39857	39857-44261
39221	38443	38443-39221
36953	40887	36953-40887
44522	45928	44522-45928
40834	45928	40834-45928
35219	45928	35219-45928
32083	41531	32083-41531
34726	44913	34726-44913
38301	35226	35226-38301
35219	39885	35219-39885
44522	38091	38091-44522
42242	38091	38091-42242
37367	40325	37367-40325
36953	39919	36953-39919
35509	43529	35509-43529
35219	41133	35219-41133
40834	41133	40834-41133
38443	42689	38443-42689
34726	42689	34726-42689
34480	33661	33661-34480
35219	41656	35219-41656
40834	41656	40834-41656
34359	43160	34359-43160
35219	43160	35219-43160
40834	43160	40834-43160
35656	43160	35656-43160
35975	39651	35975-39651
36913	33795	33795-36913
36953	35404	35404-36953
39919	35404	35404-39919
40958	40830	40830-40958
39564	31667	31667-39564
33982	42453	33982-42453
33982	36111	33982-36111
34480	33214	33214-34480
35404	37476	35404-37476
32457	3772559	32457-3772559
39651	43038	39651-43038
41403	43038	41403-43038
36953	43038	36953-43038
39919	43038	39919-43038
41907	38327	38327-41907
41656	38327	38327-41656
41907	2768865	2768865-41907
38327	41578	38327-41578
36953	41578	36953-41578
37476	41578	37476-41578
39919	41578	39919-41578
38327	31157	31157-38327
49168	40875	40875-49168
49168	32766	32766-49168
40834	42613	40834-42613
43160	45931	43160-45931
42453	39513	39513-42453
39885	31997	31997-39885
3355127	42391	3355127-42391
36936	40598	36936-40598
34480	31143	31143-34480
42689	31143	31143-42689
40834	38797	38797-40834
40834	34519	34519-40834
35219	34519	34519-35219
35219	39332	35219-39332
40834	39332	39332-40834
42034	34007	34007-42034
41944	37995	37995-41944
34480	37995	34480-37995
34007	47220	34007-47220
33795	46121	33795-46121
43160	38891	38891-43160
10178800	37044	10178800-37044
36953	37044	36953-37044
36139	39383	36139-39383
35509	33136	33136-35509
43402	33349	33349-43402
38327	34524	34524-38327
33349	34524	33349-34524
35509	34524	34524-35509
43402	34524	34524-43402
35219	42810	35219-42810
40834	42810	40834-42810
40830	35253	35253-40830
38091	35253	35253-38091
