ENTREZ_ID.1	ENTREZ_ID.2	gene.pairs
3772677	42491	3772677-42491
45881	38093	38093-45881
33105	38093	33105-38093
42689	40876	40876-42689
42491	32703	32703-42491
31586	43398	31586-43398
44039	34179	34179-44039
47767	34310	34310-47767
43930	38428	38428-43930
59239	32932	32932-59239
33105	32932	32932-33105
45881	32932	32932-45881
35051	38961	35051-38961
41481	32245	32245-41481
42162	39610	39610-42162
45881	32762	32762-45881
59239	31657	31657-59239
45928	31657	31657-45928
40876	41846	40876-41846
43930	47594	43930-47594
3772677	31624	31624-3772677
45881	32062	32062-45881
33105	32062	32062-33105
34310	32205	32205-34310
41481	32205	32205-41481
40850	32502	32502-40850
45881	31263	31263-45881
33105	31263	31263-33105
38093	42341	38093-42341
45881	42341	42341-45881
33105	42341	33105-42341
38456	42341	38456-42341
31586	50446	31586-50446
40813	40462	40462-40813
43930	39340	39340-43930
47594	39340	39340-47594
318572	36654	318572-36654
31143	41807	31143-41807
42037	42306	42037-42306
42037	35701	35701-42037
40850	53560	40850-53560
39340	36606	36606-39340
39919	33629	33629-39919
50446	41038	41038-50446
35648	41038	35648-41038
43930	41038	41038-43930
47594	41038	41038-47594
33283	46415	33283-46415
31263	46415	31263-46415
33283	36372	33283-36372
46415	36538	36538-46415
43930	36538	36538-43930
36606	36538	36538-36606
47594	36538	36538-47594
46415	32262	32262-46415
42549	32835	32835-42549
42549	36680	36680-42549
33105	37851	33105-37851
42341	32114	32114-42341
42306	43799	42306-43799
32762	246497	246497-32762
46074	41042	41042-46074
39938	45307	39938-45307
40850	33005	33005-40850
32205	33005	32205-33005
33105	36017	33105-36017
33105	40239	33105-40239
45881	40239	40239-45881
45881	36555	36555-45881
33105	36555	33105-36555
39554	39464	39464-39554
37789	33505	33505-37789
40850	33505	33505-40850
39464	40639	39464-40639
40462	38605	38605-40462
42341	42524	42341-42524
35737	36703	35737-36703
43930	36703	36703-43930
36545	39062	36545-39062
3772677	32860	32860-3772677
41459	35425	35425-41459
46415	32552	32552-46415
35425	32552	32552-35425
3772677	32552	32552-3772677
41459	32552	32552-41459
45881	33413	33413-45881
33105	33413	33105-33413
36654	40848	36654-40848
