ENTREZ_ID.1	ENTREZ_ID.2	gene.pairs
35737	41840	35737-41840
31834	35205	31834-35205
38218	35205	35205-38218
31006	34277	31006-34277
41840	34794	34794-41840
4379911	32977	32977-4379911
32794	31376	31376-32794
37185	37602	37185-37602
31357	32107	31357-32107
50446	39332	39332-50446
38218	39332	38218-39332
31834	39332	31834-39332
36699	37083	36699-37083
32983	36071	32983-36071
37534	40554	37534-40554
31834	45959	31834-45959
50446	3346207	3346207-50446
36001	3346207	3346207-36001
34277	34752	34277-34752
31357	33401	31357-33401
35737	32557	32557-35737
31834	326237	31834-326237
38218	326237	326237-38218
37602	37356	37356-37602
32983	37356	32983-37356
47873	34847	34847-47873
31834	38799	31834-38799
38218	38799	38218-38799
35205	39850	35205-39850
31834	39850	31834-39850
38218	39850	38218-39850
36264	39850	36264-39850
4379911	35552	35552-4379911
37517	36821	36821-37517
31357	47594	31357-47594
33401	47594	33401-47594
39857	43514	39857-43514
48071	39133	39133-48071
42239	34974	34974-42239
42239	44250	42239-44250
47873	33465	33465-47873
47594	35007	35007-47594
34986	42817	34986-42817
35552	53428	35552-53428
44307	53428	44307-53428
31357	53428	31357-53428
33401	53428	33401-53428
31002	38159	31002-38159
38799	38159	38159-38799
31002	47208	31002-47208
38159	34876	34876-38159
31357	34876	31357-34876
35007	34876	34876-35007
33401	34876	33401-34876
38159	43758	38159-43758
43475	31048	31048-43475
43475	34969	34969-43475
38218	33059	33059-38218
39850	36673	36673-39850
34974	31657	31657-34974
45959	42853	42853-45959
44849	31229	31229-44849
40859	31498	31498-40859
47873	39491	39491-47873
37356	39491	37356-39491
38218	34184	34184-38218
38218	43354	38218-43354
31834	43354	31834-43354
31834	32574	31834-32574
38218	32574	32574-38218
34901	40677	34901-40677
38023	317878	317878-38023
47873	317878	317878-47873
40677	32990	32990-40677
36821	39020	36821-39020
39850	38797	38797-39850
43839	44073	43839-44073
31357	44073	31357-44073
36073	39616	36073-39616
35737	42145	35737-42145
36766	48339	36766-48339
38159	36176	36176-38159
48339	36176	36176-48339
35737	36176	35737-36176
36766	36176	36176-36766
31834	249663	249663-31834
38218	249663	249663-38218
43514	43718	43514-43718
3346207	43718	3346207-43718
38159	37909	37909-38159
48339	42144	42144-48339
38159	42144	38159-42144
36766	38657	36766-38657
38159	38657	38159-38657
42591	41168	41168-42591
40733	42646	40733-42646
42889	33757	33757-42889
41840	33757	33757-41840
34794	33757	33757-34794
31746	326131	31746-326131
31834	32387	31834-32387
38218	32387	32387-38218
43152	47249	43152-47249
41770	47249	41770-47249
31376	41532	31376-41532
40843	41532	40843-41532
38218	38433	38218-38433
31834	38433	31834-38433
42239	36951	36951-42239
4379911	41094	41094-4379911
37083	41094	37083-41094
44913	41094	41094-44913
38878	41094	38878-41094
36699	36110	36110-36699
37083	36110	36110-37083
33224	43944	33224-43944
36821	39063	36821-39063
53428	36171	36171-53428
3772082	39663	3772082-39663
34277	36292	34277-36292
45285	35563	35563-45285
38218	41042	38218-41042
31834	41042	31834-41042
31834	33604	31834-33604
38218	33604	33604-38218
34896	35070	34896-35070
38218	35364	35364-38218
31834	35364	31834-35364
39857	34274	34274-39857
40185	31813	31813-40185
38878	37429	37429-38878
40677	37429	37429-40677
4379911	37429	37429-4379911
38835	37429	37429-38835
37335	37429	37335-37429
32977	37429	32977-37429
35563	37429	35563-37429
249663	37429	249663-37429
37083	37429	37083-37429
38023	37429	37429-38023
44913	37429	37429-44913
41094	37429	37429-41094
42537	37841	37841-42537
37429	32602	32602-37429
39616	36454	36454-39616
38159	40016	38159-40016
43758	40016	40016-43758
31397	33982	31397-33982
40554	39090	39090-40554
43227	37156	37156-43227
38799	41670	38799-41670
326237	41670	326237-41670
33604	41670	33604-41670
38433	41670	38433-41670
41042	41670	41042-41670
39332	41670	39332-41670
32387	41670	32387-41670
43354	41670	41670-43354
35364	41670	35364-41670
249663	41670	249663-41670
39850	41670	39850-41670
34184	41670	34184-41670
35205	41670	35205-41670
40677	37472	37472-40677
31006	34966	31006-34966
37429	32860	32860-37429
35737	38988	35737-38988
48071	3772007	3772007-48071
44830	3772007	3772007-44830
39133	3772007	3772007-39133
44233	43142	43142-44233
42889	31153	31153-42889
31834	34504	31834-34504
38218	34504	34504-38218
41670	34504	34504-41670
36110	42896	36110-42896
35225	37618	35225-37618
42646	37618	37618-42646
40733	37618	37618-40733
41612	35604	35604-41612
35197	35604	35197-35604
38218	39690	38218-39690
31834	39690	31834-39690
34876	48973	34876-48973
47594	48973	47594-48973
35007	48973	35007-48973
35340	41296	35340-41296
40554	44279	40554-44279
37429	37006	37006-37429
45959	43531	43531-45959
45959	34593	34593-45959
43531	34593	34593-43531
40843	35927	35927-40843
31376	35927	31376-35927
39850	251610	251610-39850
31834	251610	251610-31834
38218	251610	251610-38218
41670	251610	251610-41670
38988	33681	33681-38988
39491	33060	33060-39491
47873	33060	33060-47873
34847	33060	33060-34847
317878	33060	317878-33060
33465	33060	33060-33465
38743	40794	38743-40794
38000	40794	38000-40794
45906	39854	39854-45906
41670	39854	39854-41670
38218	39854	38218-39854
31834	39854	31834-39854
41670	40657	40657-41670
38218	40657	38218-40657
31834	40657	31834-40657
42504	48448	42504-48448
3772007	41611	3772007-41611
14462484	35430	14462484-35430
39690	35430	35430-39690
34504	35430	34504-35430
39020	35430	35430-39020
34876	35430	34876-35430
39854	35430	35430-39854
32387	35430	32387-35430
43354	35430	35430-43354
42854	35430	35430-42854
39850	35430	35430-39850
38079	35430	35430-38079
38799	35430	35430-38799
33604	35430	33604-35430
36673	35430	35430-36673
42239	35430	35430-42239
251610	35430	251610-35430
40657	35430	35430-40657
32766	35430	32766-35430
38433	35430	35430-38433
38218	35430	35430-38218
34184	35430	34184-35430
41042	35430	35430-41042
31006	35430	31006-35430
326237	35430	326237-35430
35205	35430	35205-35430
43718	41591	41591-43718
3346207	41591	3346207-41591
36492	36432	36432-36492
37006	36432	36432-37006
38811	37415	37415-38811
37429	41850	37429-41850
32602	41850	32602-41850
41718	33849	33849-41718
33757	44432	33757-44432
42646	44432	42646-44432
31397	47408	31397-47408
41036	39075	39075-41036
37730	32483	32483-37730
31397	32483	31397-32483
31397	36260	31397-36260
41670	45880	41670-45880
