ENTREZ_ID.1	ENTREZ_ID.2	gene.pairs
41602	36606	36606-41602
31586	26067080	26067080-31586
2768940	26067080	26067080-2768940
35225	36990	35225-36990
36606	31006	31006-36606
31722	43793	31722-43793
246497	33529	246497-33529
33627	32558	32558-33627
31444	36495	31444-36495
34364	47218	34364-47218
2768940	47218	2768940-47218
31586	47218	31586-47218
41873	36277	36277-41873
40358	44052	40358-44052
43794	34636	34636-43794
31586	31442	31442-31586
34364	43775	34364-43775
34591	43775	34591-43775
36990	32454	32454-36990
31444	38367	31444-38367
41602	44785	41602-44785
31586	41627	31586-41627
2768940	41627	2768940-41627
32558	34269	32558-34269
40358	34269	34269-40358
37111	41740	37111-41740
31586	39554	31586-39554
2768940	39554	2768940-39554
26067080	43768	26067080-43768
31586	43768	31586-43768
2768940	43768	2768940-43768
43377	43768	43377-43768
31722	37864	31722-37864
33906	3354863	3354863-33906
31444	34633	31444-34633
38367	34633	34633-38367
31137	39978	31137-39978
33571	33629	33571-33629
35173	43490	35173-43490
35173	32760	32760-35173
37111	37148	37111-37148
34633	38204	34633-38204
31533	3346227	31533-3346227
37864	39521	37864-39521
40886	39521	39521-40886
31444	39521	31444-39521
38367	39521	38367-39521
36773	38645	36773-38645
39554	38645	38645-39554
36773	43099	36773-43099
38645	40587	38645-40587
31444	40587	31444-40587
38204	40587	38204-40587
38367	40587	38367-40587
38645	35142	35142-38645
37395	41036	37395-41036
37395	44703	37395-44703
2768940	39546	2768940-39546
43768	41531	41531-43768
43490	35878	35878-43490
31442	42086	31442-42086
38443	37038	37038-38443
40794	43639	40794-43639
37111	48448	37111-48448
34269	48448	34269-48448
2768940	44653	2768940-44653
2768940	32557	2768940-32557
31586	32557	31586-32557
31586	40909	31586-40909
2768940	40909	2768940-40909
36460	36139	36139-36460
35398	41768	35398-41768
37111	41768	37111-41768
36139	44096	36139-44096
3354863	43017	3354863-43017
43768	43792	43768-43792
3771985	37909	3771985-37909
31444	37909	31444-37909
34803	34434	34434-34803
41602	46015	41602-46015
34411	47220	34411-47220
38645	37957	37957-38645
47220	37957	37957-47220
41602	37957	37957-41602
34411	37957	34411-37957
31586	39833	31586-39833
2768940	39833	2768940-39833
39978	39054	39054-39978
43775	39054	39054-43775
38645	35801	35801-38645
47220	33565	33565-47220
38645	33565	33565-38645
34411	34794	34411-34794
38645	34794	34794-38645
42743	36400	36400-42743
41306	43656	41306-43656
3355150	33413	33413-3355150
36606	33413	33413-36606
31006	33413	31006-33413
37769	39679	37769-39679
31586	246540	246540-31586
2768940	246540	246540-2768940
38079	40693	38079-40693
34721	40693	34721-40693
33529	31373	31373-33529
37412	31373	31373-37412
