ENTREZ_ID.1	ENTREZ_ID.2	gene.pairs
39157	41084	39157-41084
37655	41193	37655-41193
37922	41193	37922-41193
246618	34138	246618-34138
41084	43999	41084-43999
35751	37456	35751-37456
38923	33654	33654-38923
41067	44801	41067-44801
31229	40990	31229-40990
34364	40887	34364-40887
37922	40887	37922-40887
37655	40887	37655-40887
32152	38159	32152-38159
41591	32483	32483-41591
33578	32268	32268-33578
37655	39464	37655-39464
34364	43402	34364-43402
37464	43402	37464-43402
34138	39833	34138-39833
31229	34946	31229-34946
39157	39958	39157-39958
37655	41935	37655-41935
37922	41935	37922-41935
44801	32078	32078-44801
41591	32078	32078-41591
44233	41785	41785-44233
37655	44848	37655-44848
37922	44848	37922-44848
41193	37207	37207-41193
37655	37207	37207-37655
37922	37207	37207-37922
31905	37207	31905-37207
35751	43417	35751-43417
41633	41833	41633-41833
31229	252554	252554-31229
34946	252554	252554-34946
41917	39814	39814-41917
43530	45881	43530-45881
44118	43799	43799-44118
44118	46015	44118-46015
44233	42898	42898-44233
252554	41409	252554-41409
42696	38565	38565-42696
43417	37524	37524-43417
32552	37524	32552-37524
31229	37524	31229-37524
34946	37524	34946-37524
36003	31567	31567-36003
44848	31567	31567-44848
36003	37924	36003-37924
31567	45848	31567-45848
31229	45848	31229-45848
41409	45848	41409-45848
34946	45848	34946-45848
31567	35055	31567-35055
48311	39491	39491-48311
48311	36545	36545-48311
37922	35070	35070-37922
37207	42150	37207-42150
43799	38930	38930-43799
39464	39938	39464-39938
35648	40833	35648-40833
31181	37199	31181-37199
44233	34229	34229-44233
32078	34229	32078-34229
37922	326139	326139-37922
37922	32454	32454-37922
37655	32454	32454-37655
37655	34745	34745-37655
37922	34745	34745-37922
40813	39843	39843-40813
31603	3772232	31603-3772232
44233	3772232	3772232-44233
39843	44129	39843-44129
41833	38995	38995-41833
37207	33319	33319-37207
31082	41235	31082-41235
31229	41235	31229-41235
318572	42065	318572-42065
39157	37780	37780-39157
34752	45318	34752-45318
31567	37637	31567-37637
45318	37637	37637-45318
39157	37637	37637-39157
34752	37637	34752-37637
37655	48535	37655-48535
37922	48535	37922-48535
