ENTREZ_ID.1	ENTREZ_ID.2	gene.pairs
36400	35584	35584-36400
50391	39847	39847-50391
38766	39847	38766-39847
45821	42689	42689-45821
35584	38995	35584-38995
33351	38367	33351-38367
32574	42306	32574-42306
40002	38897	38897-40002
33240	41576	33240-41576
39138	40537	39138-40537
38766	40537	38766-40537
50391	40537	40537-50391
40800	37537	37537-40800
50428	34263	34263-50428
3355094	36382	3355094-36382
50391	32794	32794-50391
39138	31084	31084-39138
31151	31084	31084-31151
42689	34095	34095-42689
33240	39645	33240-39645
36400	43161	36400-43161
50391	43758	43758-50391
38766	43758	38766-43758
38897	39884	38897-39884
50428	39884	39884-50428
37943	45328	37943-45328
50391	37471	37471-50391
38766	37471	37471-38766
39847	33830	33830-39847
50391	33830	33830-50391
38766	33830	33830-38766
42933	33830	33830-42933
33351	39180	33351-39180
35680	39454	35680-39454
33240	35656	33240-35656
39645	35656	35656-39645
43167	35787	35787-43167
39459	41459	39459-41459
34565	43229	34565-43229
34565	40517	34565-40517
37943	35226	35226-37943
35656	36360	35656-36360
34411	40813	34411-40813
39180	42242	39180-42242
43415	42242	42242-43415
33240	42242	33240-42242
39645	42242	39645-42242
33721	41445	33721-41445
37471	41445	37471-41445
33721	31167	31167-33721
41445	43300	41445-43300
33240	43300	33240-43300
36360	43300	36360-43300
39645	43300	39645-43300
41445	35563	35563-41445
251984	37141	251984-37141
251984	32083	251984-32083
38766	45329	38766-45329
33830	34754	33830-34754
43229	33314	33314-43229
32794	40177	32794-40177
34709	39567	34709-39567
38580	43156	38580-43156
37943	34751	34751-37943
39884	34751	34751-39884
38766	33224	33224-38766
38766	31988	31988-38766
50391	31988	31988-50391
50391	33906	33906-50391
38766	33906	33906-38766
34591	34843	34591-34843
32780	35816	32780-35816
37943	35816	35816-37943
34843	38491	34843-38491
39454	44879	39454-44879
33830	5740544	33830-5740544
40961	41704	40961-41704
33240	41704	33240-41704
37542	36195	36195-37542
36400	33028	33028-36400
31585	40358	31585-40358
41445	43981	41445-43981
40358	43981	40358-43981
36400	43981	36400-43981
31585	43981	31585-43981
50391	34324	34324-50391
38766	34324	34324-38766
35787	42810	35787-42810
31084	42810	31084-42810
41445	43344	41445-43344
40358	37377	37377-40358
41445	37377	37377-41445
31585	34685	31585-34685
41445	34685	34685-41445
33680	34012	33680-34012
30983	35340	30983-35340
44039	32635	32635-44039
35584	32635	32635-35584
38995	32635	32635-38995
31846	32976	31846-32976
50391	31518	31518-50391
38766	31518	31518-38766
43930	53425	43930-53425
37290	53425	37290-53425
42306	45278	42306-45278
36741	45278	36741-45278
38766	38565	38565-38766
50391	38565	38565-50391
34565	34110	34110-34565
33351	36655	33351-36655
37537	36655	36655-37537
31778	36655	31778-36655
39091	36655	36655-39091
40800	40185	40185-40800
37537	40185	37537-40185
34274	41860	34274-41860
39454	36897	36897-39454
42242	42460	42242-42460
40165	36951	36951-40165
42689	38389	38389-42689
42646	37044	37044-42646
38766	33795	33795-38766
50391	33795	33795-50391
50391	34138	34138-50391
38766	34138	34138-38766
252554	40133	252554-40133
38766	43718	38766-43718
50391	43718	43718-50391
43167	39041	39041-43167
33335	43793	33335-43793
39091	36068	36068-39091
34843	36068	34843-36068
33351	36068	33351-36068
39735	36068	36068-39735
39077	36068	36068-39077
38367	36068	36068-38367
37044	36068	36068-37044
34324	36068	34324-36068
37537	36068	36068-37537
32780	36068	32780-36068
31778	36068	31778-36068
36655	36068	36068-36655
41446	37336	37336-41446
36068	39663	36068-39663
36195	32384	32384-36195
41445	43867	41445-43867
35563	43867	35563-43867
37007	38879	37007-38879
36382	32400	32400-36382
32552	41941	32552-41941
37471	32684	32684-37471
43758	32684	32684-43758
34138	32684	32684-34138
38565	32684	32684-38565
33795	32684	32684-33795
40537	32684	32684-40537
31518	32684	31518-32684
31988	32684	31988-32684
43718	32684	32684-43718
34324	32684	32684-34324
33830	32684	32684-33830
33224	32684	32684-33224
39847	32684	32684-39847
34843	4379911	34843-4379911
45821	40104	40104-45821
36068	42896	36068-42896
36400	40684	36400-40684
39459	32762	32762-39459
31760	32762	31760-32762
41459	32762	32762-41459
53472	36821	36821-53472
44039	37922	37922-44039
50391	43819	43819-50391
38766	43819	38766-43819
32684	43819	32684-43819
40185	36595	36595-40185
40260	39374	39374-40260
35340	39374	35340-39374
30983	39374	30983-39374
36774	34007	34007-36774
33158	34007	33158-34007
38766	40035	38766-40035
50391	40035	40035-50391
43300	40643	40643-43300
35656	40643	35656-40643
36360	40643	36360-40643
43283	32975	32975-43283
36382	43799	36382-43799
36068	36753	36068-36753
32794	31290	31290-32794
32794	42046	32794-42046
31290	42046	31290-42046
36741	41184	36741-41184
42306	41184	41184-42306
33830	43026	33830-43026
50391	43026	43026-50391
38766	43026	38766-43026
32684	43026	32684-43026
40684	36111	36111-40684
34751	34677	34677-34751
37943	34677	34677-37943
45328	34677	34677-45328
35816	34677	34677-35816
35226	34677	34677-35226
42492	36606	36606-42492
33968	36606	33968-36606
34126	33509	33509-34126
32684	33509	32684-33509
38766	33509	33509-38766
50391	33509	33509-50391
32684	42572	32684-42572
38766	42572	38766-42572
50391	42572	42572-50391
33458	36638	33458-36638
32762	37701	32762-37701
43158	33629	33629-43158
40035	33629	33629-40035
43819	33629	33629-43819
44879	33629	33629-44879
43300	33629	33629-43300
33509	33629	33509-33629
31518	33629	31518-33629
31988	33629	31988-33629
43398	33629	33629-43398
33830	33629	33629-33830
31447	33629	31447-33629
37471	33629	33629-37471
34138	33629	33629-34138
34754	33629	33629-34754
34565	33629	33629-34565
43026	33629	33629-43026
42572	33629	33629-42572
3355084	33629	3355084-33629
38565	33629	33629-38565
38766	33629	33629-38766
33224	33629	33224-33629
33795	33629	33629-33795
45821	33629	33629-45821
43758	33629	33629-43758
39847	33629	33629-39847
42810	45318	42810-45318
31084	45318	31084-45318
32579	36536	32579-36536
36753	36536	36536-36753
41697	41770	41697-41770
36068	2768962	2768962-36068
39663	2768962	2768962-39663
36461	34974	34974-36461
32635	35594	32635-35594
35340	35594	35340-35594
37007	36039	36039-37007
40016	35343	35343-40016
38809	40345	38809-40345
37007	40345	37007-40345
37007	38800	37007-38800
32684	42863	32684-42863
38766	42863	38766-42863
50391	42863	42863-50391
33629	42863	33629-42863
44861	41602	41602-44861
43981	36641	36641-43981
35584	36641	35584-36641
43161	36641	36641-43161
34685	36641	34685-36641
33028	36641	33028-36641
43344	36641	36641-43344
32794	38001	32794-38001
36068	37476	36068-37476
37300	31657	31657-37300
40517	31006	31006-40517
50428	38501	38501-50428
33627	40599	33627-40599
35343	42062	35343-42062
36492	41703	36492-41703
36492	318093	318093-36492
41703	318093	318093-41703
39018	318093	318093-39018
40165	43636	40165-43636
37300	40282	37300-40282
37943	37083	37083-37943
42242	37083	37083-42242
34677	37083	34677-37083
36655	37083	36655-37083
45328	37148	37148-45328
36068	31165	31165-36068
32684	32090	32090-32684
33629	32090	32090-33629
50391	32090	32090-50391
38766	32090	32090-38766
32780	37774	32780-37774
36068	37774	36068-37774
40800	34947	34947-40800
42453	34947	34947-42453
40517	34947	34947-40517
31084	34947	31084-34947
42046	34947	34947-42046
33346	34947	33346-34947
34754	34947	34754-34947
37368	39052	37368-39052
40345	39052	39052-40345
3772677	39052	3772677-39052
33629	37116	33629-37116
38766	37116	37116-38766
50391	37116	37116-50391
32684	37116	32684-37116
41446	42601	41446-42601
36753	40875	36753-40875
39735	40875	39735-40875
32450	40875	32450-40875
36068	40875	36068-40875
44889	40875	40875-44889
34324	39956	34324-39956
37687	39956	37687-39956
33968	39956	33968-39956
42087	39956	39956-42087
34565	39956	34565-39956
40451	39956	39956-40451
38501	41107	38501-41107
34263	41107	34263-41107
40165	44272	40165-44272
36741	34245	34245-36741
38800	31298	31298-38800
35563	38444	35563-38444
32684	38444	32684-38444
38766	38444	38444-38766
50391	38444	38444-50391
39956	38444	38444-39956
34324	38444	34324-38444
33629	38444	33629-38444
42242	41842	41842-42242
40185	41842	40185-41842
37237	41531	37237-41531
41459	41531	41459-41531
39459	41531	39459-41531
3772677	41531	3772677-41531
31760	41531	31760-41531
40620	42169	40620-42169
50391	32777	32777-50391
32684	32777	32684-32777
33629	32777	32777-33629
38766	32777	32777-38766
31447	36298	31447-36298
34007	40548	34007-40548
40185	34413	34413-40185
34843	42842	34843-42842
41446	42842	41446-42842
34007	35730	34007-35730
32684	34184	32684-34184
33629	34184	33629-34184
50391	34184	34184-50391
38766	34184	34184-38766
41459	39938	39938-41459
41531	39938	39938-41531
40016	45871	40016-45871
33680	35478	33680-35478
50003	41840	41840-50003
42306	35042	35042-42306
33680	34309	33680-34309
34012	34309	34012-34309
37083	34309	34309-37083
33680	43693	33680-43693
34309	43693	34309-43693
34012	43693	34012-43693
39554	38232	38232-39554
41860	38232	38232-41860
42169	38232	38232-42169
43793	36914	36914-43793
33335	36914	33335-36914
39052	36545	36545-39052
35730	44801	35730-44801
36753	44263	36753-44263
31011	44263	31011-44263
33629	38489	33629-38489
34947	41746	34947-41746
42086	36988	36988-42086
34250	43542	34250-43542
45821	42690	42690-45821
39091	40172	39091-40172
32780	35329	32780-35329
33629	43724	33629-43724
45821	35662	35662-45821
39663	35662	35662-39663
41446	35662	35662-41446
36655	32269	32269-36655
32780	32269	32269-32780
31988	32269	31988-32269
36068	32269	32269-36068
42169	31147	31147-42169
39454	31147	31147-39454
40620	31147	31147-40620
35680	31147	31147-35680
40345	39744	39744-40345
38800	37957	37957-38800
